"date","close","volume","open","high","low"
"2013/12/18","22.8333","92844.0000","22.6230","22.9200","22.5000"
"2013/12/17","22.8433","72159.0000","23.2700","23.6800","22.3700"
"2013/12/16","23.0867","120270.0000","23.2167","23.3197","22.7367"
"2013/12/13","22.1300","56613.0000","22.2333","22.4000","21.6667"
"2013/12/12","22.3267","200193.0000","21.9433","22.8433","21.8500"
"2013/12/11","22.6300","96000.0000","23.7317","23.9000","22.6067"
"2013/12/10","23.6050","31857.0000","23.3433","24.0103","23.3233"
"2013/12/09","23.7600","104772.0000","24.2067","24.4433","23.6667"
"2013/12/06","25.0667","71730.0000","24.5700","25.2933","24.2187"
"2013/12/05","24.9467","149616.0000","27.0567","27.0633","24.8633"
"2013/12/04","27.3267","25200.0000","26.8267","27.3547","26.6667"
"2013/12/03","27.2567","42549.0000","27.2133","27.3900","26.6167"
"2013/12/02","27.3367","44937.0000","27.9967","28.0400","26.9500"
"2013/11/29","28.0656","12000.0000","28.0166","28.1000","27.5533"
"2013/11/27","28.1334","41370.0000","28.8333","28.8333","28.0500"
"2013/11/26","28.7533","27927.0000","29.1733","29.9233","28.6667"
"2013/11/25","29.0333","42360.0000","28.8567","29.5233","28.7766"
"2013/11/22","29.4400","24141.0000","29.7867","29.8733","29.4000"
"2013/11/21","30.8174","13275.0000","30.8067","31.1600","30.2500"
"2013/11/20","31.2267","16650.0000","31.7600","32.3600","31.1600"
"2013/11/19","33.3033","19800.0000","32.1267","33.3320","32.1200"
"2013/11/18","32.1337","14745.0000","31.2733","32.1800","31.1500"
"2013/11/15","31.6067","16995.0000","31.9067","32.1167","31.3767"
"2013/11/14","32.2267","52116.0000","34.1200","34.2700","32.0800"
"2013/11/13","33.0733","9759.0000","32.3300","33.1900","32.0300"
"2013/11/12","31.7967","28533.0000","32.2533","32.2533","31.6600"
"2013/11/11","33.0533","14865.0000","32.8400","33.4300","32.7700"
"2013/11/08","32.9600","23430.0000","33.6067","33.6067","32.6667"
"2013/11/07","33.8700","48627.0000","32.4300","34.0233","32.3400"
"2013/11/06","33.7667","35022.0000","34.2833","34.2933","33.0167"
"2013/11/05","34.0600","34230.0000","35.2950","35.2950","33.9600"
"2013/11/04","34.8533","44787.0000","35.2333","35.4700","34.8400"
"2013/11/01","33.5500","31575.0000","33.3333","33.6567","33.1952"
"2013/10/31","32.3633","55551.0000","31.6400","32.5000","31.6400"
"2013/10/30","31.4267","29790.0000","31.3200","31.6033","30.9967"
"2013/10/29","31.2333","64374.0000","31.2967","31.8233","30.8307"
"2013/10/28","31.0500","46437.0000","30.7000","31.1567","30.4500"
"2013/10/25","28.7767","12915.0000","29.3250","29.4167","28.6767"
"2013/10/24","29.6800","41874.0000","30.5900","30.8333","29.5634"
"2013/10/23","29.8433","15060.0000","30.0000","30.0000","29.8333"
"2013/10/22","30.1267","85836.0000","29.5834","30.3333","29.2937"
"2013/10/21","29.0000","35220.0000","27.6167","29.0900","27.6167"
"2013/10/18","27.6267","77649.0000","28.1900","28.5167","27.3600"
"2013/10/17","27.6667","50760.0000","27.9900","28.0033","27.6666"
"2013/10/16","27.5500","78378.0000","26.5865","27.6403","26.3000"
"2013/10/15","26.9067","51210.0000","26.6233","27.1500","26.6000"
"2013/10/14","26.7100","46200.0000","26.5800","27.2633","26.5800"
"2013/10/11","27.0633","38976.0000","27.2500","27.3100","27.0000"
"2013/10/10","27.6600","90984.0000","27.4600","27.8167","26.9333"
"2013/10/09","28.3000","19395.0000","28.1233","28.3000","27.9000"
"2013/10/08","27.8300","65334.0000","28.2167","28.2300","27.7834"
"2013/10/07","29.1600","41004.0000","29.6400","29.7767","28.7467"
"2013/10/04","31.3233","7074.0000","31.0437","31.7367","31.0100"
"2013/10/03","31.4167","37164.0000","30.7433","31.6867","30.7300"
"2013/10/02","30.8267","14661.0000","29.5567","30.8339","29.5567"
"2013/10/01","29.6667","56325.0000","29.9300","30.0500","29.1264"
"2013/09/30","30.6199","15042.0000","31.0167","31.2667","30.4667"
"2013/09/27","29.8733","69690.0000","30.7733","30.7733","29.8633"
"2013/09/26","30.3367","63201.0000","31.5267","32.1267","30.1426"
"2013/09/25","30.6500","24009.0000","30.2000","30.8167","30.0133"
"2013/09/24","30.3153","29325.0000","29.2500","30.5167","29.2500"
"2013/09/23","28.7233","16038.0000","28.0000","28.7700","27.8169"
"2013/09/20","27.4800","21090.0000","27.7667","27.8500","27.4800"
"2013/09/19","27.2066","36810.0000","26.6587","27.5100","25.6900"
"2013/09/18","27.0833","28524.0000","27.1133","27.6500","27.0067"
"2013/09/17","26.9333","31209.0000","26.5767","26.9867","26.4633"
"2013/09/16","26.7833","159657.0000","27.3900","27.3900","26.6300"
"2013/09/13","27.7533","66348.0000","28.5733","28.5733","27.6033"
"2013/09/12","28.2700","88524.0000","29.6467","29.6467","28.0000"
"2013/09/11","29.5233","34194.0000","29.7400","30.0400","28.6599"
"2013/09/10","29.2267","31404.0000","29.4167","29.7300","29.1233"
"2013/09/09","28.7567","36195.0000","29.0000","29.4667","28.7333"
"2013/09/06","29.8733","49038.0000","29.6300","29.9100","29.4600"
"2013/09/05","29.0700","111696.0000","27.3000","29.2288","27.3000"
"2013/09/04","27.7567","20574.0000","27.9163","28.1833","27.6500"
"2013/09/03","27.7867","68364.0000","27.8500","27.9600","27.5100"
"2013/08/30","28.4033","36654.0000","28.7800","28.9400","28.2233"
"2013/08/29","28.3600","155649.0000","28.1700","29.8300","27.9600"
"2013/08/28","28.9567","32850.0000","29.2400","29.5500","28.8567"
"2013/08/27","28.8500","55005.0000","30.1989","30.1989","28.8500"
"2013/08/26","29.4167","6180.0000","29.5367","29.5367","29.1767"
"2013/08/23","29.6600","12075.0000","29.3900","29.6800","29.2667"
"2013/08/22","28.9700","68880.0000","29.5300","29.6067","28.6833"
"2013/08/21","30.0467","18330.0000","29.8300","30.1167","29.7833"
"2013/08/20","30.4700","15924.0000","30.0000","30.4900","29.7000"
"2013/08/19","30.4500","60360.0000","29.9633","30.4700","29.7500"
"2013/08/16","32.0067","33228.0000","31.8133","32.0630","31.8000"
"2013/08/15","31.2167","47250.0000","32.7667","32.7667","31.0833"
"2013/08/14","32.4567","40089.0000","32.4833","32.4867","31.9400"
"2013/08/13","32.9733","36168.0000","33.5100","33.5100","32.8767"
"2013/08/12","33.0200","82320.0000","32.6100","33.0567","31.9267"
"2013/08/09","34.6400","42996.0000","33.3267","34.6667","32.9733"
"2013/08/08","32.8100","198492.0000","34.4400","36.8167","32.7750"
"2013/08/07","34.3433","52437.0000","33.9367","34.4533","33.8933"
"2013/08/06","33.0933","29475.0000","32.7633","33.1200","32.5033"
"2013/08/05","32.5567","78585.0000","32.4433","33.1560","32.2000"
"2013/08/02","32.4433","43194.0000","31.5767","32.5133","31.4667"
"2013/08/01","31.6667","146400.0000","31.0033","32.4100","31.0000"
"2013/07/31","30.7533","41583.0000","30.3200","31.0094","30.3200"
"2013/07/30","30.6500","19779.0000","30.3333","31.0067","30.0000"
"2013/07/29","30.0367","66729.0000","30.6133","30.8667","29.8900"
"2013/07/26","28.5700","14409.0000","27.9400","28.7866","27.9400"
"2013/07/25","27.3633","123828.0000","26.2500","27.4660","26.2500"
"2013/07/24","26.5900","25260.0000","26.3600","26.7000","25.6867"
"2013/07/23","26.1433","14319.0000","25.9700","26.3067","25.9066"
"2013/07/22","26.9300","42768.0000","26.5257","27.5000","26.5257"
"2013/07/19","25.6600","13494.0000","25.5433","25.9866","25.5433"
"2013/07/18","25.3333","80019.0000","27.2600","27.3466","24.9633"
"2013/07/17","28.1100","8727.0000","27.6467","28.1200","27.6467"
"2013/07/16","27.3200","39402.0000","28.0200","28.0700","26.9270"
"2013/07/15","27.5033","75543.0000","28.6033","29.3200","27.5033"
"2013/07/12","27.8467","16194.0000","27.6467","27.8867","27.3633"
"2013/07/11","28.2967","18816.0000","28.0133","28.6333","27.1967"
"2013/07/10","27.5400","18837.0000","26.7933","27.8000","26.7434"
"2013/07/09","27.6400","11154.0000","27.1033","27.9733","27.0667"
"2013/07/08","26.7733","78603.0000","26.6933","26.9200","26.2333"
"2013/07/05","28.7767","2850.0000","28.5067","28.9333","28.5067"
"2013/07/03","28.4600","26121.0000","29.0100","29.0833","27.9233"
"2013/07/02","27.9900","59766.0000","28.9700","29.0367","27.9233"
"2013/07/01","29.2600","76386.0000","29.0900","29.8333","28.8153"
"2013/06/28","29.3333","110043.0000","29.3367","30.0967","28.9197"
"2013/06/27","29.1133","159546.0000","27.3500","29.3727","26.9433"
"2013/06/26","26.9117","67320.0000","27.4800","27.8600","26.8067"
"2013/06/25","27.6467","108645.0000","26.9300","27.9433","26.9257"
"2013/06/24","26.6033","43464.0000","26.4333","26.7000","25.9467"
"2013/06/21","25.9667","124071.0000","25.2600","26.3000","25.2037"
"2013/06/20","24.8267","148320.0000","24.6733","25.1733","24.4100"
"2013/06/19","23.9966","32244.0000","23.8934","24.0700","23.7467"
"2013/06/18","24.5433","78420.0000","24.5433","25.0703","24.0767"
"2013/06/17","24.8467","115551.0000","25.6467","25.7167","24.6528"
"2013/06/14","26.8267","142116.0000","26.2000","26.8942","26.1667"
"2013/06/13","25.7234","209607.0000","26.8800","27.0573","25.4033"
"2013/06/12","26.3767","136152.0000","26.8700","26.8800","26.2303"
"2013/06/11","27.1000","151671.0000","26.5667","27.1467","26.4033"
"2013/06/10","26.1133","65568.0000","25.6100","26.3900","25.2333"
"2013/06/07","25.6533","52015.0000","25.6667","25.7333","25.3733"
"2013/06/06","25.2933","217500.0000","24.4800","25.7467","24.4267"
"2013/06/05","23.6400","10052.0000","23.8667","23.9067","23.5067"
"2013/06/04","23.7333","10008.0000","23.7200","23.7600","23.4267"
"2013/06/03","23.7733","49559.0000","23.8267","23.9867","23.2533"
"2013/05/31","23.8000","94454.0000","23.2933","23.8747","23.0933"
"2013/05/30","23.3333","103370.0000","22.3600","23.4799","21.9333"
"2013/05/29","21.8800","56826.0000","21.8667","22.4000","21.6799"
"2013/05/28","21.4533","87545.0000","21.4800","21.6667","21.0400"
"2013/05/24","20.7733","58045.0000","20.7537","20.9200","20.7201"
"2013/05/23","20.6000","143774.0000","21.4932","21.5683","20.4743"
"2013/05/22","21.3733","54601.0000","21.3867","21.6133","21.2412"
"2013/05/21","21.2400","173171.0000","21.6000","21.6667","21.0667"
"2013/05/20","22.3600","143807.0000","21.7600","22.5867","21.7067"
"2013/05/17","22.7333","147102.0000","24.0800","24.0800","22.2533"
"2013/05/16","24.1200","144088.0000","23.1333","24.4187","23.1200"
"2013/05/15","22.6933","64430.0000","22.8267","23.0396","22.6400"
"2013/05/14","23.3333","97784.0000","23.6400","23.7867","23.2535"
"2013/05/13","24.4400","66625.0000","24.1733","24.5867","23.8013"
"2013/05/10","24.6000","100016.0000","23.7080","24.6267","23.5600"
